pl_insolerr1,pl_insol,st_tefferr2,dec,pl_radeerr1,pl_orbper,st_raderr2,pl_trandeperr2,st_raderr1,pl_trandep,st_tefferr1,st_teff,pl_eqt,ra,pl_radeerr2,pl_orbpererr1,pl_trandeperr1,st_rad,pl_orbpererr2,pl_rade,pl_insolerr2,disposition,source
86.75,102.91,-197.0,38.241669,2.17,10.181584004,-0.078,-53.2,0.234,5741.1,179.0,5988.0,812.0,291.28195,-0.72,6.188e-06,53.2,0.836,-6.188e-06,7.73,-28.91,CANDIDATE,Kepler
0.89,4.0,-86.0,39.27832,0.13,20.06036336,-0.04,-45.1,0.033,1494.7,70.0,3950.0,361.0,286.07913,-0.16,5.839e-05,45.1,0.493,-5.839e-05,1.96,-0.9,CONFIRMED,Kepler
0.29,1.32,-86.0,39.27832,0.12,46.1842039,-0.04,-56.4,0.033,1394.7,70.0,3950.0,273.0,286.07913,-0.15,0.0002654,56.4,0.493,-0.0002654,1.83,-0.3,CONFIRMED,Kepler
17.84,41.94,-117.0,44.337551,0.2,23.9800854,-0.103,-6.5,0.154,104.0,105.0,5854.0,649.0,300.86398,-0.13,0.0002003,6.5,1.012,-0.0002003,1.31,-10.73,CONFIRMED,Kepler
3.1,14.05,-86.0,39.27832,0.08,7.82502168,-0.04,-36.4,0.033,520.8,70.0,3950.0,494.0,286.07913,-0.1,3.89e-05,36.4,0.493,-3.89e-05,1.2,-3.19,CONFIRMED,Kepler
155.31,241.62,-167.0,39.308361,1.53,3.895936525,-0.069,-29.5,0.161,8544.8,167.0,5557.0,1005.0,294.65524,-0.65,7.71e-07,29.5,0.774,-7.71e-07,7.34,-64.19,CONFIRMED,Kepler
10.29,19.45,-160.0,39.52174,0.38,22.36646466,-0.052,-35.1,0.122,986.8,160.0,5395.0,536.0,294.71063,-0.16,9.761e-05,35.1,0.734,-9.761e-05,2.32,-4.56,CONFIRMED,Kepler
576.36,1467.41,-74.0,38.422939,1.41,1.625522174,-0.161,-11.8,0.161,7969.0,83.0,5539.0,1579.0,293.87192,-1.42,1.58e-07,11.8,1.106,-1.58e-07,9.73,-452.24,CONFIRMED,Kepler
14.34,40.39,-85.0,38.563568,1.82,19.620346923,-0.061,-85.0,0.121,21725.0,76.0,5710.0,643.0,293.81619,-0.92,3.73e-06,85.0,0.905,-3.73e-06,13.6,-7.31,CANDIDATE,Kepler
81.18,116.46,-169.0,38.601101,4.12,7.544039,-0.078,-28.2,0.194,322.6,152.0,5657.0,838.0,293.94116,-1.65,0.0001023,28.2,0.824,-0.0001023,17.47,-31.91,FALSE POSITIVE,Kepler
43.01,77.75,-167.0,38.72823,0.44,9.02930689,-0.082,-21.9,0.141,1019.8,167.0,5349.0,757.0,290.33362,-0.26,1.648e-05,21.9,0.82,-1.648e-05,2.57,-22.28,CONFIRMED,Kepler
98.49,119.31,-169.0,38.886452,3.64,10.328035714,-0.186,-31.8,0.28,16918.0,169.0,5627.0,843.0,287.69675,-2.41,3.762e-06,31.8,1.024,-3.762e-06,13.28,-48.58,FALSE POSITIVE,Kepler
0.59,2.14,-120.0,38.947281,0.82,143.2063047,-0.037,-82.4,0.079,10566.0,98.0,5485.0,308.0,285.28363,-0.38,0.0002348,82.4,0.867,-0.0002348,8.9,-0.35,CONFIRMED,Kepler
